Season,Pos,Player,Team,Projected FFP
2024,TE,Mike Gesicki,CIN,97
2024,RB,MarShawn Lloyd,GB,96
2024,TE,Luke Musgrave,GB,96
2024,K,Younghoe Koo,ATL,96
2024,K,Cameron Dicker,LAC,95
2024,K,Greg Zuerlein,NYJ,95
2024,WR,K.J. Osborn,NE,94
2024,TE,Cade Otton,TB,94
2024,WR,Ja'Lynn Polk,NE,93
2024,K,Kaimi Fairbairn,HOU,93
2024,K,Jake Moody,SF,93
2024,TE,Tyler Conklin,NYJ,92
2024,TE,Juwan Johnson,NO,92
2024,K,Michael Badgley,DET,92
2024,K,Jason Sanders,MIA,92
2024,K,Jake Elliott,PHI,91
2024,K,Dustin Hopkins,CLE,91
2024,K,Tyler Bass,BUF,90
2024,K,Jason Myers,SEA,89
2024,K,Blake Grupe,NO,89
2024,WR,Nelson Agholor,BAL,88
2024,K,Daniel Carlson,LV,88
2024,K,Joshua Karty,LAR,88
2024,K,Anders Carlson,GB,88
2024,QB,Justin Fields,PIT,87
2024,K,Cairo Santos,CHI,87
2024,TE,Jonnu Smith,MIA,86
2024,K,Chase McLaughlin,TB,86
2024,K,Matt Gay,IND,86
2024,K,Chris Boswell,PIT,86
2024,K,Matt Prater,ARI,86
2024,RB,Dalvin Cook,DAL,85
2024,RB,Alexander Mattison,LV,84
2024,WR,Ray-Ray McCloud,ATL,84
2024,TE,Pat Freiermuth,PIT,84
2024,K,Nick Folk,TEN,84
2024,K,Graham Gano,NYG,84
2024,RB,Roschon Johnson,CHI,83
2024,RB,Jamaal Williams,NO,82
2024,WR,Tyler Boyd,TEN,82
2024,K,Will Lutz,DEN,82
2024,TE,Colby Parkinson,LAR,81
2024,K,Will Reichard,MIN,81
2024,TE,Isaiah Likely,BAL,80
2024,TE,Hayden Hurst,LAC,80
2024,RB,Cordarrelle Patterson,PIT,79
2024,WR,Jalin Hyatt,NYG,79
2024,TE,Ben Sinnott,WSH,79
2024,K,Chad Ryland,NE,79
2024,RB,Ray Davis,BUF,78
2024,WR,Troy Franklin,DEN,78
2024,WR,Kalif Raymond,DET,76
2024,TE,Noah Fant,SEA,76
2024,WR,DJ Chark,LAC,75
2024,QB,Jacoby Brissett,NE,74
2024,RB,Jaylen Wright,MIA,74
2024,TE,Theo Johnson,NYG,74
2024,TE,Greg Dulcich,DEN,73
2024,RB,Samaje Perine,KC,72
2024,WR,Luke McCaffrey,WSH,72
2024,WR,Kendrick Bourne,NE,71
2024,RB,Khalil Herbert,CHI,70
2024,RB,Braelon Allen,NYJ,70
2024,RB,Kenneth Gainwell,PHI,70
2024,QB,Drew Lock,NYG,68
2024,RB,Tyrone Tracy,NYG,66
2024,WR,Brenden Rice,LAC,66
2024,WR,Jalen Nailor,MIN,65
2024,WR,Ricky Pearsall,SF,65
2024,TE,Tucker Kraft,GB,65
2024,RB,Audric Estime,DEN,64
2024,TE,Michael Mayer,LV,64
2024,RB,Tank Bigsby,JAX,63
2024,RB,Isaiah Davis,NYJ,63
2024,WR,Cedrick Wilson,NO,63
2024,WR,Tyquan Thornton,NE,63
2024,WR,Jauan Jennings,SF,61
2024,WR,Jonathan Mingo,CAR,59
2024,TE,Tommy Tremble,CAR,59
2024,TE,Ja'Tavion Sanders,CAR,59
2024,WR,Calvin Austin,PIT,58
2024,TE,Dawson Knox,BUF,58
2024,WR,Malik Washington,MIA,57
2024,RB,Eric Gray,NYG,56
2024,RB,Cam Akers,HOU,56
2024,WR,Jordan Whittington,LAR,56
2024,TE,Zach Ertz,WSH,56
2024,WR,Quentin Johnston,LAC,55
2024,RB,Dylan Laube,LV,53
2024,TE,Daniel Bellinger,NYG,53
2024,TE,Kylen Granson,IND,52
2024,TE,Will Dissly,LAC,52
2024,RB,Kendre Miller,NO,50
2024,WR,Olamide Zaccheaus,WSH,50
2024,WR,Jahan Dotson,PHI,49
2024,WR,Trey Palmer,TB,48
2024,TE,Mo Alie-Cox,IND,48
2024,WR,Tre Tucker,LV,47
2024,WR,A.T. Perry,NO,46
2024,TE,Darnell Washington,PIT,45
2024,RB,Sean Tucker,TB,44
2024,RB,Dameon Pierce,HOU,43
2024,RB,Rasheen Ali,BAL,43
2024,WR,Odell Beckham,MIA,43
2024,WR,Cedric Tillman,CLE,43
2024,TE,Josh Oliver,MIN,43
2024,WR,Allen Lazard,NYJ,42
2024,RB,Trey Sermon,IND,41
2024,TE,Tyler Higbee,LAR,41
2024,RB,Keaton Mitchell,BAL,40
2024,TE,Taysom Hill,NO,40
2024,TE,Jeremy Ruckert,NYJ,40
2024,WR,Mack Hollins,BUF,39
2024,WR,Noah Brown,WSH,39
2024,RB,Will Shipley,PHI,36
2024,TE,Austin Hooper,NE,36
2024,QB,Nick Mullens,MIN,35
2024,WR,Zay Jones,ARI,34
2024,WR,Jake Bobo,SEA,34
2024,WR,Deonte Harty,BAL,34
2024,WR,JuJu Smith-Schuster,KC,33
2024,TE,Cade Stover,HOU,33
2024,WR,John Metchie,HOU,31
2024,RB,Justice Hill,BAL,30
2024,RB,Jaret Patterson,LAC,30
2024,WR,Devaughn Vele,DEN,30
2024,QB,Sam Howell,SEA,29
2024,RB,Isaac Guerendo,SF,29
2024,WR,Robert Woods,HOU,29
2024,WR,Tim Patrick,DET,29
2024,WR,Treylon Burks,TEN,29
2024,WR,KhaDarel Hodge,ATL,29
2024,RB,Kenny McIntosh,SEA,28
2024,WR,Anthony Gould,IND,28
2024,WR,Xavier Gipson,NYJ,28
2024,TE,Gerald Everett,CHI,28
2024,TE,Charlie Woerner,ATL,28
2024,RB,Jase McClellan,ATL,26
2024,WR,Johnny Wilson,PHI,26
2024,TE,Jared Wiley,KC,26
2024,QB,Easton Stick,LAC,25
2024,RB,D'Ernest Johnson,JAX,25
2024,WR,Alec Pierce,IND,25
2024,WR,Justin Watson,KC,25
2024,TE,Adam Trautman,DEN,25
2024,WR,Brandon Powell,MIN,24
2024,TE,Luke Schoonmaker,DAL,24
2024,RB,Kimani Vidal,LAC,23
2024,WR,David Moore,CAR,23
2024,WR,Casey Washington,ATL,23
2024,TE,Brenton Strange,JAX,23
2024,RB,Miles Sanders,CAR,22
2024,WR,DJ Turner,LV,22
2024,WR,Parker Washington,JAX,22
2024,WR,KaVontae Turpin,DAL,22
2024,TE,Ko Kieft,TB,22
2024,RB,Tyler Goodson,IND,21
2024,WR,Tyler Scott,CHI,21
2024,WR,Tutu Atwell,LAR,21
2024,TE,Pharaoh Brown,SEA,21
2024,RB,Clyde Edwards-Helaire,KC,20
2024,RB,Craig Reynolds,DET,20
2024,RB,JaMycal Hasty,NE,20
2024,WR,Skyy Moore,KC,20
2024,TE,Jordan Akins,CLE,20
2024,TE,Grant Calcaterra,PHI,20
2024,WR,Bub Means,NO,19
2024,WR,Nick Westbrook-Ikhine,TEN,19
2024,RB,Pierre Strong,CLE,18
2024,TE,James Mitchell,DET,18
2024,TE,Elijah Higgins,ARI,18
2024,TE,Josh Whyle,TEN,18
2024,TE,Robert Tonyan,MIN,18
2024,TE,Erick All,CIN,18
2024,QB,Clayton Tune,ARI,17
2024,RB,Israel Abanikanda,NYJ,17
2024,RB,Keillan Robinson,JAX,17
2024,WR,Jason Brownlee,NYJ,17
2024,WR,Devontez Walker,BAL,17
2024,WR,Javon Baker,NE,17
2024,RB,Hassan Haskins,TEN,16
2024,WR,Bo Melton,GB,16
2024,WR,Ryan Flournoy,DAL,15
2024,WR,Jalen Brooks,DAL,15
2024,WR,Chris Moore,ARI,15
2024,WR,Antoine Green,DET,15
2024,WR,Derius Davis,LAC,15
2024,WR,Trent Sherfield,MIN,15
2024,WR,Laviska Shenault,SEA,15
2024,TE,Logan Thomas,SF,15
2024,QB,Jake Browning,CIN,14
2024,RB,Emanuel Wilson,GB,14
2024,RB,Ronnie Rivers,LAR,14
2024,RB,Trayveon Williams,CIN,14
2024,RB,Ty Johnson,BUF,14
2024,WR,Velus Jones,CHI,14
2024,WR,Xavier Hutchinson,HOU,14
2024,WR,Jamison Crowder,WSH,14
2024,TE,Harrison Bryant,LV,14
2024,QB,Andy Dalton,CAR,13
2024,QB,Kyle Trask,TB,13
2024,RB,Deuce Vaughn,DAL,13
2024,RB,Raheem Blackshear,CAR,13
2024,RB,Jeremy McNichols,WSH,13
2024,WR,Tim Jones,JAX,13
2024,QB,Mason Rudolph,TEN,12
2024,QB,Joe Flacco,IND,12
2024,QB,Josh Johnson,BAL,12
2024,QB,Marcus Mariota,WSH,12
2024,QB,Jimmy Garoppolo,LAR,12
2024,RB,DeeJay Dallas,ARI,12
2024,TE,Brock Wright,DET,12
2024,TE,Luke Farrell,JAX,12
2024,RB,Jeff Wilson,MIA,11
2024,WR,Marquez Valdes-Scantling,BUF,11
2024,WR,Jamari Thrash,CLE,11
2024,WR,Braxton Berrios,MIA,11
2024,WR,Ronnie Bell,SF,11
2024,WR,Gunner Olszewski,NYG,11
2024,WR,Britain Covey,PHI,11
2024,TE,Ian Thomas,CAR,11
2024,TE,Julian Hill,MIA,11
2024,QB,Zach Wilson,DEN,10
2024,RB,Emari Demercado,ARI,10
2024,RB,Carson Steele,KC,10
2024,TE,Durham Smythe,MIA,10
2024,RB,D'Onta Foreman,CLE,9
2024,RB,Jordan Mims,NO,9
2024,WR,Zach Pascal,ARI,9
2024,WR,Kameron Johnson,TB,9
2024,WR,Danny Gray,SF,9
2024,WR,River Cracraft,MIA,9
2024,WR,Dez Fitzpatrick,PIT,8
2024,WR,Charlie Jones,CIN,8
2024,WR,Jalen Guyton,LV,8
2024,WR,Kyle Philips,TEN,8
2024,TE,Chris Manhertz,NYG,8
2024,TE,Brevin Jordan,HOU,8
2024,TE,Tanner Hudson,CIN,8
2024,TE,Foster Moreau,NO,8
2024,TE,Drew Ogletree,IND,8
2024,TE,Quintin Morris,BUF,8
2024,TE,AJ Barner,SEA,8
2024,TE,Charlie Kolar,BAL,8
2024,QB,Mike White,MIA,7
2024,QB,Jameis Winston,CLE,7
2024,WR,Devin Duvernay,JAX,7
2024,WR,Jha'Quan Jackson,TEN,7
2024,WR,Stanley Morgan,NO,7
2024,TE,Tip Reiman,ARI,7
2024,TE,Payne Durham,TB,7
2024,TE,Albert Okwuegbunam,PHI,7
2024,QB,Taylor Heinicke,ATL,6
2024,QB,Tyrod Taylor,NYJ,6
2024,QB,Kenny Pickett,PHI,6
2024,QB,Spencer Rattler,NO,6
2024,QB,Trey Lance,DAL,6
2024,WR,David Bell,CLE,6
2024,QB,Hendon Hooker,DET,5
2024,QB,Tyson Bagent,CHI,5
2024,QB,Josh Dobbs,SF,4
2024,QB,Carson Wentz,KC,3
2024,QB,Sean Clifford,GB,3
2024,QB,Case Keenum,HOU,3
2024,QB,Mac Jones,JAX,3
2024,QB,Mitch Trubisky,BUF,2
